sentenceID,isConcordant,sentenceType,isPlausible,sentenceContent,sentenceLoop.thisRepN,sentenceLoop.thisTrialN,sentenceLoop.thisN,sentenceLoop.thisIndex,instr.started,instr.stopped,confirm.keys,confirm.rt,confirm.started,confirm.stopped,isNative.started,isNative.stopped,isNativeResp.keys,isNativeResp.rt,isNativeResp.started,isNativeResp.stopped,text.started,text.stopped,text_2.started,text_2.stopped,practice1Cross.started,practice1Cross.stopped,practice1Text.started,practice1Text.stopped,practice1Resp.keys,practice1Resp.rt,practice1Resp.started,practice1Resp.stopped,feedback1Text.started,feedback1Text.stopped,feedback1Blank.started,feedback1Blank.stopped,practice2Cross.started,practice2Cross.stopped,practice2Text.started,practice2Text.stopped,practice2Resp.keys,practice2Resp.rt,practice2Resp.started,practice2Resp.stopped,feedback2Text.started,feedback2Text.stopped,feedback2Blank.started,feedback2Blank.stopped,sentence.started,sentence.stopped,fixationCross.started,fixationCross.stopped,sentenceResp.keys,sentenceResp.rt,sentenceResp.started,sentenceResp.stopped,debriefText.started,debriefText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,17.897694600047544,None,y,57.94227689993568,17.897694600047544,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
,,,,,,,,,,,,,,,75.86326640006155,None,n,3.9021149000618607,75.86326640006155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
,,,,,,,,,,,,,,,,,,,,,79.79329210007563,84.80520040006377,84.77251969999634,None,87.78618380008265,88.78567640017718,88.76906210021116,None,y,1.6865272000432014,88.76906210021116,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.51200010022148,95.5128924001474,95.49688640004024,None,98.5106347000692,99.51015330012888,99.49358240002766,None,n,1.449577199993655,99.49358240002766,None,,,,,,,,,,,,,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
55,False,intransitive,True,The sugar dissolved in the milk.,0,0,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.98551730019972,105.98777710017748,105.97200060007162,None,110.05171600007452,None,109.05687450012192,110.06822120002471,y,1.4038907999638468,110.05171600007452,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
59,False,intransitive,True,The soup heated in the pot.,0,1,1,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.48290460021235,None,111.49673190014437,112.49950230005197,y,1.1765360001008958,112.48290460021235,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
5,True,transitive,True,The waiter poured the wine.,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.68114550015889,None,113.69294110010378,114.69759850017726,n,1.1182979999575764,114.68114550015889,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
2,True,transitive,False,The box opened the teacher.,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.82923540007323,None,115.84289270010777,116.84606970008463,n,1.085020000115037,116.82923540007323,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
54,False,intransitive,False,The table poured over the wine.,0,4,4,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.96063060010783,None,117.96253370004706,118.97727540018968,n,1.1759747001342475,118.96063060010783,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
49,False,intransitive,True,The box opened after a short while.,0,5,5,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.17564100003801,None,120.18162480019964,121.19224140001461,y,1.37738629989326,121.17564100003801,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
7,True,transitive,True,The baker dissolved the sugar.,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.57389490003698,None,122.58671070006676,123.59041150007397,y,0.9581847998779267,123.57389490003698,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
13,True,transitive,True,The assistant shut the store.,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.55548249999993,None,124.56906310003251,125.57210030010901,y,0.9189271999057382,125.55548249999993,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
11,True,transitive,True,The cook heated the soup.,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.50402930006385,None,126.51545940013602,127.52049760008231,y,0.8003892998676747,127.50402930006385,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
51,False,intransitive,True,The pipe clogged after the rain.,0,9,9,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.31886830017902,None,128.33318529999815,129.33560600015335,y,0.8652721999678761,129.31886830017902,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
31,True,intransitive,True,The soup boiled in the pot.,0,10,10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.20068400003947,None,130.21432070014998,131.21742840018123,y,0.8005561998579651,131.20068400003947,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
15,True,transitive,True,The girl tore her sweater.,0,11,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.01602290011942,None,132.02840590011328,133.0325853000395,y,1.242434100015089,133.01602290011942,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
33,False,transitive,True,His parents grow flowers on their balcony.,0,12,12,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.29772360017523,None,134.30426150001585,135.31431170017458,y,1.338545999955386,135.29772360017523,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
22,True,intransitive,False,The street exploded in the bomb.,0,13,13,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.66224830015562,None,136.6776568000205,137.6788829001598,y,0.7647170999553055,137.66224830015562,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
42,False,transitive,False,The shirt shrank the hot water.,0,14,14,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.44409740017727,None,138.4587572000455,139.46074210014194,y,1.3861902998760343,139.44409740017727,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
6,True,transitive,False,The wine poured the waiter.,0,15,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.8587562001776,None,140.87050120020285,141.8753850001376,n,1.534118500072509,141.8587562001776,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
24,True,intransitive,False,The sun hardened in the concrete.,0,16,16,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.42329530022107,None,143.43497629999183,144.44000460021198,y,1.6284429000224918,144.42329530022107,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
45,False,transitive,True,The boy burst the balloon.,0,17,17,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.0712025000248,None,146.08276280015707,147.08764480007812,y,1.0254465998150408,147.0712025000248,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
48,False,transitive,False,The soup boiled the cook.,0,18,18,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.11932729999535,None,148.13135760021396,149.13605520012788,n,0.9885460000950843,149.11932729999535,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
32,True,intransitive,False,The cook boiled in the pot.,0,19,19,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.13440260011703,None,150.14510480011813,151.15103960013948,y,1.0937717999331653,151.13440260011703,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
28,True,intransitive,False,My hands crumbled in the cake.,0,20,20,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.26609160006046,None,152.27344410005026,153.2826461000368,y,1.2854755001608282,153.26609160006046,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
38,False,transitive,False,The bomb exploded the guards.,0,21,21,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.58071210002527,None,154.59332170011476,155.59722040011548,y,1.2906303000636399,155.58071210002527,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
58,False,intransitive,False,The heat softened the butter.,0,22,22,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.8955437000841,None,156.90932180010714,157.91221460001543,y,1.468818600056693,157.8955437000841,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
1,True,transitive,True,The teacher opened the box. ,0,23,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.39343210007064,None,159.4085188000463,160.4101302002091,y,0.9360547000542283,160.39343210007064,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
56,False,intransitive,False,The baker dissolved in the milk.,0,24,24,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.3585549001582,None,161.37117390008643,162.37520820018835,y,0.9048346998170018,162.3585549001582,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
4,True,transitive,False,The pipe clogged the leaves.,0,25,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.29028529999778,None,163.30368270003237,164.3068613000214,n,1.6002227999269962,164.29028529999778,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
60,False,intransitive,False,The cook heated in the soup.,0,26,26,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.9212963001337,None,165.9341772000771,166.93810060014948,n,1.9386845999397337,166.9212963001337,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
52,False,intransitive,False,The leaves clogged after the rain.,0,27,27,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.8856409001164,None,168.89823520020582,169.90224640001543,y,1.162545199971646,169.8856409001164,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
27,True,intransitive,True,The cake crumbled in my hands.,0,28,28,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.06720020016655,None,171.08024909999222,172.0840423000045,y,2.1014648000709713,172.06720020016655,None,,,1,001,2021_Dec_01_1455,sentPlausibility,2021.2.3,60.01187034053182,
