sentenceID,isConcordant,sentenceType,isPlausible,sentenceContent,sentenceLoop.thisRepN,sentenceLoop.thisTrialN,sentenceLoop.thisN,sentenceLoop.thisIndex,instr.started,instr.stopped,confirm.keys,confirm.rt,confirm.started,confirm.stopped,isNative.started,isNative.stopped,isNativeResp.keys,isNativeResp.rt,isNativeResp.started,isNativeResp.stopped,text.started,text.stopped,text_2.started,text_2.stopped,practice1Cross.started,practice1Cross.stopped,practice1Text.started,practice1Text.stopped,practice1Resp.keys,practice1Resp.rt,practice1Resp.started,practice1Resp.stopped,feedback1Text.started,feedback1Text.stopped,feedback1Blank.started,feedback1Blank.stopped,practice2Cross.started,practice2Cross.stopped,practice2Text.started,practice2Text.stopped,practice2Resp.keys,practice2Resp.rt,practice2Resp.started,practice2Resp.stopped,feedback2Text.started,feedback2Text.stopped,feedback2Blank.started,feedback2Blank.stopped,sentence.started,sentence.stopped,fixationCross.started,fixationCross.stopped,sentenceResp.keys,sentenceResp.rt,sentenceResp.started,sentenceResp.stopped,debriefText.started,debriefText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
62,False,intransitive,False,The assistant shut at six o’clock.,0,22,22,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.51862139999866,None,157.51994919986464,158.53508859989233,n,1.43577879993245,158.51862139999866,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
19,True,intransitive,True,The boat sank in the storm.,0,23,23,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.98310259985738,None,159.99528119992465,160.99956929986365,y,1.2742373999208212,160.98310259985738,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
18,True,intransitive,False,The clusters grew in the flowers.,0,24,24,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.28100809990428,None,162.29499699990265,163.29770380002446,n,1.8377884000074118,163.28100809990428,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
30,True,intransitive,False,The boy burst behind the balloon.,0,25,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.1455140998587,None,165.16061019990593,166.16216489998624,n,1.6287653998006135,166.1455140998587,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
35,False,transitive,True,The waves sank the boat.,0,26,26,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.79328290000558,None,167.80507600004785,168.8098865998909,y,1.122852599946782,168.79328290000558,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
15,True,transitive,True,The girl tore her sweater.,0,27,27,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.94131809985265,None,169.95216419990174,170.95809179986827,y,1.4373861998319626,170.94131809985265,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
37,False,transitive,True,The guards exploded the bomb.,0,28,28,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.4061844998505,None,172.418981899973,173.42282169987448,n,1.6468829999212176,173.4061844998505,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
3,True,transitive,True,The leaves clogged the pipe.,0,29,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0706319999881,None,175.08406909997575,176.0870864999015,y,1.4025034999940544,176.0706319999881,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
49,False,intransitive,True,The box opened after a short while.,0,30,30,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.5020619998686,None,177.51563080004416,178.51862629991956,y,1.3017570001538843,178.5020619998686,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
54,False,intransitive,False,The table poured over the wine.,0,31,31,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.8334262999706,None,179.846657600021,180.8499779999256,n,1.6077340000774711,180.8334262999706,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
25,True,intransitive,True,The shirt shrank in the wash.,0,32,32,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.46445139986463,None,182.47759989998303,183.4812528998591,n,1.5796602999325842,183.46445139986463,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
47,False,transitive,True,The cook boiled the soup.,0,33,33,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.06240259995684,None,185.07432499993593,186.0789316999726,y,1.16262389998883,186.06240259995684,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
22,True,intransitive,False,The street exploded in the bomb.,0,34,34,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.2440911999438,None,187.25887449993752,188.2606158000417,n,1.492684799944982,188.2440911999438,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
42,False,transitive,False,The shirt shrank the hot water.,0,35,35,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.7584056998603,None,189.77243159990758,190.77523240004666,n,1.3860760000534356,190.7584056998603,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
16,True,transitive,False,The sweater tore the girl.,0,36,36,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.17322420002893,None,192.1861097998917,193.1900020998437,n,1.2451172999572009,193.17322420002893,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
34,False,transitive,False,Flowers grow his parents on their balcony.,0,37,37,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.45488470001146,None,194.46275720000267,195.47148670000024,n,1.8685524000320584,195.45488470001146,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
1,True,transitive,True,The teacher opened the box. ,0,38,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.35247389995493,None,197.3672301999759,198.36892619985156,y,1.088905000127852,198.35247389995493,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
8,True,transitive,False,The sugar dissolved the baker.,0,39,39,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.46728079998866,None,199.47943870001473,200.48380769998766,n,1.2398089000489563,200.46728079998866,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
44,False,transitive,False,The cake crumbled the cook.,0,40,40,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.73207299993373,None,201.7442300999537,202.74875459983014,n,1.2089036998804659,202.73207299993373,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
13,True,transitive,True,The assistant shut the store.,0,41,41,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.96362479985692,None,203.9787546999287,204.98022049991414,y,1.2854871000163257,204.96362479985692,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
55,False,intransitive,True,The sugar dissolved in the milk.,0,42,42,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.27838929998688,None,206.29286119993776,207.29496439988725,y,1.2958368000108749,207.27838929998688,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
