sentenceID,isConcordant,sentenceType,isPlausible,sentenceContent,sentenceLoop.thisRepN,sentenceLoop.thisTrialN,sentenceLoop.thisN,sentenceLoop.thisIndex,instr.started,instr.stopped,confirm.keys,confirm.rt,confirm.started,confirm.stopped,isNative.started,isNative.stopped,isNativeResp.keys,isNativeResp.rt,isNativeResp.started,isNativeResp.stopped,text.started,text.stopped,text_2.started,text_2.stopped,practice1Cross.started,practice1Cross.stopped,practice1Text.started,practice1Text.stopped,practice1Resp.keys,practice1Resp.rt,practice1Resp.started,practice1Resp.stopped,feedback1Text.started,feedback1Text.stopped,feedback1Blank.started,feedback1Blank.stopped,practice2Cross.started,practice2Cross.stopped,practice2Text.started,practice2Text.stopped,practice2Resp.keys,practice2Resp.rt,practice2Resp.started,practice2Resp.stopped,feedback2Text.started,feedback2Text.stopped,feedback2Blank.started,feedback2Blank.stopped,sentence.started,sentence.stopped,fixationCross.started,fixationCross.stopped,sentenceResp.keys,sentenceResp.rt,sentenceResp.started,sentenceResp.stopped,debriefText.started,debriefText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,15.69973469991237,None,y,57.03554489999078,15.69973469991237,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1511,sentPlausibility,2021.2.3,60.115120394364126,
,,,,,,,,,,,,,,,72.77111349999905,None,y,3.4078512999694794,72.77111349999905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1511,sentPlausibility,2021.2.3,60.115120394364126,
,,,,,,,,,,,,,,,,,,,,,76.20933920005336,81.22130280011334,81.1885873998981,None,84.20213950006291,85.2017818999011,85.18503040005453,None,y,4.687778500141576,85.18503040005453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1511,sentPlausibility,2021.2.3,60.115120394364126,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.92879760009237,94.9434907999821,94.91067759995349,None,97.92428219993599,98.92359380004928,98.90730970003642,103.91931469994597,n,5.050391300115734,98.90730970003642,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1511,sentPlausibility,2021.2.3,60.115120394364126,
27,True,intransitive,True,The cake crumbled in my hands.,0,0,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.01189319998957,109.0151619000826,108.99931510002352,None,113.07896480010822,None,112.08323310012929,113.09547709999606,y,1.8465993001591414,113.07896480010822,None,,,4,001,2021_Dec_01_1511,sentPlausibility,2021.2.3,60.115120394364126,
18,True,intransitive,False,The clusters grew in the flowers.,0,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.94329630001448,118.45735869999044,114.95917279995047,115.9598995000124,y,2.5764577998779714,115.94329630001448,None,,,4,001,2021_Dec_01_1511,sentPlausibility,2021.2.3,60.115120394364126,
56,False,intransitive,False,The baker dissolved in the milk.,0,2,2,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.54032359994017,None,118.55633329995908,119.55686839995906,n,2.1488627998623997,119.54032359994017,None,,,4,001,2021_Dec_01_1511,sentPlausibility,2021.2.3,60.115120394364126,
9,True,transitive,True,The heat softened the butter.,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.70432689995505,None,121.71737130009569,122.72091570007615,y,1.7740414999425411,122.70432689995505,None,,,4,001,2021_Dec_01_1511,sentPlausibility,2021.2.3,60.115120394364126,
13,True,transitive,True,The assistant shut the store.,0,4,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.50203140010126,None,124.51539409998804,125.51860229996964,y,1.581333699868992,125.50203140010126,None,,,4,001,2021_Dec_01_1511,sentPlausibility,2021.2.3,60.115120394364126,
44,False,transitive,False,The cake crumbled the cook.,0,5,5,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.09985259990208,None,127.11520350002684,128.11649839999154,n,1.3751801999751478,128.09985259990208,None,,,4,001,2021_Dec_01_1511,sentPlausibility,2021.2.3,60.115120394364126,
64,False,intransitive,False,The seams tore along the sweater.,0,6,6,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.51445490005426,None,129.51934939995408,130.5310720000416,y,1.5423321002162993,130.51445490005426,None,,,4,001,2021_Dec_01_1511,sentPlausibility,2021.2.3,60.115120394364126,
21,True,intransitive,True,The bomb exploded in the street.,0,7,7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.07909739995375,None,132.09320189990103,133.09569910005666,y,1.0976393001619726,133.07909739995375,None,,,4,001,2021_Dec_01_1511,sentPlausibility,2021.2.3,60.115120394364126,
58,False,intransitive,False,The heat softened the butter.,0,8,8,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.19403679994866,None,134.20672770007513,135.21066939993761,y,1.251767999958247,135.19403679994866,None,,,4,001,2021_Dec_01_1511,sentPlausibility,2021.2.3,60.115120394364126,
25,True,intransitive,True,The shirt shrank in the wash.,0,9,9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.47539560007863,None,136.48835849994794,137.492085600039,y,1.202702899929136,137.47539560007863,None,,,4,001,2021_Dec_01_1511,sentPlausibility,2021.2.3,60.115120394364126,
26,True,intransitive,False,The wash shrank in the shirt.,0,10,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.70701869996265,None,138.7206317000091,139.72367600002326,n,1.2977030000183731,139.70701869996265,None,,,4,001,2021_Dec_01_1511,sentPlausibility,2021.2.3,60.115120394364126,
32,True,intransitive,False,The cook boiled in the pot.,0,11,11,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0214770999737,None,141.03415050008334,142.03813030011952,y,1.1651318001095206,142.0214770999737,None,,,4,001,2021_Dec_01_1511,sentPlausibility,2021.2.3,60.115120394364126,
39,False,transitive,True,The sun hardened the sand.,0,12,12,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.20330359996296,None,143.21454810001887,144.21993350004777,y,1.6878042998723686,144.20330359996296,None,,,4,001,2021_Dec_01_1511,sentPlausibility,2021.2.3,60.115120394364126,
11,True,transitive,True,The cook heated the soup.,0,13,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.91783960000612,None,145.9304893000517,146.93438620003872,y,1.4339425000362098,146.91783960000612,None,,,4,001,2021_Dec_01_1511,sentPlausibility,2021.2.3,60.115120394364126,
