sentenceID,isConcordant,sentenceType,isPlausible,sentenceContent,sentenceLoop.thisRepN,sentenceLoop.thisTrialN,sentenceLoop.thisN,sentenceLoop.thisIndex,instr.started,instr.stopped,confirm.keys,confirm.rt,confirm.started,confirm.stopped,isNative.started,isNative.stopped,isNativeResp.keys,isNativeResp.rt,isNativeResp.started,isNativeResp.stopped,text.started,text.stopped,text_2.started,text_2.stopped,practice1Cross.started,practice1Cross.stopped,practice1Text.started,practice1Text.stopped,practice1Resp.keys,practice1Resp.rt,practice1Resp.started,practice1Resp.stopped,feedback1Text.started,feedback1Text.stopped,feedback1Blank.started,feedback1Blank.stopped,practice2Cross.started,practice2Cross.stopped,practice2Text.started,practice2Text.stopped,practice2Resp.keys,practice2Resp.rt,practice2Resp.started,practice2Resp.stopped,feedback2Text.started,feedback2Text.stopped,feedback2Blank.started,feedback2Blank.stopped,sentence.started,sentence.stopped,fixationCross.started,fixationCross.stopped,sentenceResp.keys,sentenceResp.rt,sentenceResp.started,sentenceResp.stopped,debriefText.started,debriefText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,19.673963699955493,None,y,48.339541299967095,19.673963699955493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1516,sentPlausibility,2021.2.3,60.08131406810793,
,,,,,,,,,,,,,,,68.04878970002756,None,y,2.506276700180024,68.04878970002756,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1516,sentPlausibility,2021.2.3,60.08131406810793,
,,,,,,,,,,,,,,,,,,,,,70.57061580009758,75.58262709993869,75.549976099981,None,78.56356530007906,79.56309880013578,79.54647399997339,None,y,1.0197702997829765,79.54647399997339,None,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1516,sentPlausibility,2021.2.3,60.08131406810793,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.62562990002334,85.62440810003318,85.6084211000707,None,88.6218455999624,89.6213847999461,89.60468029999174,None,n,1.144308099988848,89.60468029999174,None,,,,,,,,,,,,,,,5,001,2021_Dec_01_1516,sentPlausibility,2021.2.3,60.08131406810793,
49,False,intransitive,True,The box opened after a short while.,0,0,0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.79548029997386,95.79937570006587,95.78364229993895,None,99.86302549997345,None,98.86616810015403,99.87984529999085,n,1.8430302999913692,99.86302549997345,None,,,5,001,2021_Dec_01_1516,sentPlausibility,2021.2.3,60.08131406810793,
30,True,intransitive,False,The boy burst behind the balloon.,0,1,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.72749210009351,None,101.74415310006589,102.74411840015091,n,1.4507424999028444,102.72749210009351,None,,,5,001,2021_Dec_01_1516,sentPlausibility,2021.2.3,60.08131406810793,
40,False,transitive,False,The sand hardened the sun.,0,2,2,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.20858160010539,None,104.2207800000906,105.2252716999501,y,1.5102395999711007,105.20858160010539,None,,,5,001,2021_Dec_01_1516,sentPlausibility,2021.2.3,60.08131406810793,
57,False,intransitive,True,The butter softened in the heat.,0,3,3,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.73991270014085,None,106.75373200001195,107.75655180006288,y,1.1146296998485923,107.73991270014085,None,,,5,001,2021_Dec_01_1516,sentPlausibility,2021.2.3,60.08131406810793,
22,True,intransitive,False,The street exploded in the bomb.,0,4,4,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.87174009997398,None,108.88661579997279,109.88808130007237,n,1.0305028001312166,109.87174009997398,None,,,5,001,2021_Dec_01_1516,sentPlausibility,2021.2.3,60.08131406810793,
60,False,intransitive,False,The cook heated in the soup.,0,5,5,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.91986150015146,None,110.9332022999879,111.93650970002636,y,1.4270212999545038,111.91986150015146,None,,,5,001,2021_Dec_01_1516,sentPlausibility,2021.2.3,60.08131406810793,
